date,time,location,growth
2020-01-26,4,Vermont,0
2020-01-26,4,Virgin Islands,0
2020-01-26,4,Virginia,0
2020-01-26,4,Washington,0
2020-01-26,4,West Virginia,0
2020-01-26,4,Wisconsin,0
2020-01-26,4,Wyoming,0
2020-01-27,5,Alabama,0
2020-01-27,5,Alaska,0
2020-01-27,5,American Samoa,0
2020-01-27,5,Arizona,1
2020-01-27,5,Arkansas,0
2020-01-27,5,California,2
2020-01-27,5,Colorado,0
2020-01-27,5,Connecticut,0
2020-01-27,5,Delaware,0
2020-01-27,5,Diamond Princess,0
2020-01-27,5,District of Columbia,0
2020-01-27,5,Florida,0
2020-01-27,5,Georgia,0
2020-01-27,5,Grand Princess,0
2020-01-27,5,Guam,0
2020-01-27,5,Hawaii,0
2020-01-27,5,Idaho,0
2020-01-27,5,Illinois,0
2020-01-27,5,Indiana,0
2020-01-27,5,Iowa,0
2020-01-27,5,Kansas,0
2020-01-27,5,Kentucky,0
2020-01-27,5,Louisiana,0
2020-01-27,5,Maine,0
2020-01-27,5,Maryland,0
2020-01-27,5,Massachusetts,0
2020-01-27,5,Michigan,0
2020-01-27,5,Minnesota,0
2020-01-27,5,Mississippi,0
2020-01-27,5,Missouri,0
2020-01-27,5,Montana,0
2020-01-27,5,Nebraska,0
2020-01-27,5,Nevada,0
2020-01-27,5,New Hampshire,0
2020-01-27,5,New Jersey,0
2020-01-27,5,New Mexico,0
2020-01-27,5,New York,0
2020-01-27,5,North Carolina,0
2020-01-27,5,North Dakota,0
2020-01-27,5,Northern Mariana Islands,0
2020-01-27,5,Ohio,0
2020-01-27,5,Oklahoma,0
2020-01-27,5,Oregon,0
2020-01-27,5,Pennsylvania,0
2020-01-27,5,Puerto Rico,0
2020-01-27,5,Rhode Island,0
2020-01-27,5,South Carolina,0
2020-01-27,5,South Dakota,0
2020-01-27,5,Tennessee,0
2020-01-27,5,Texas,0
2020-01-27,5,Utah,0
2020-01-27,5,Vermont,0
2020-01-27,5,Virgin Islands,0
2020-01-27,5,Virginia,0
2020-01-27,5,Washington,0
2020-01-27,5,West Virginia,0
2020-01-27,5,Wisconsin,0
2020-01-27,5,Wyoming,0
2020-01-28,6,Alabama,0
2020-01-28,6,Alaska,0
2020-01-28,6,American Samoa,0
2020-01-28,6,Arizona,0
2020-01-28,6,Arkansas,0
2020-01-28,6,California,0
2020-01-28,6,Colorado,0
2020-01-28,6,Connecticut,0
2020-01-28,6,Delaware,0
2020-01-28,6,Diamond Princess,0
2020-01-28,6,District of Columbia,0
2020-01-28,6,Florida,0
2020-01-28,6,Georgia,0
2020-01-28,6,Grand Princess,0
2020-01-28,6,Guam,0
2020-01-28,6,Hawaii,0
2020-01-28,6,Idaho,0
2020-01-28,6,Illinois,0
2020-01-28,6,Indiana,0
2020-01-28,6,Iowa,0
2020-01-28,6,Kansas,0
2020-01-28,6,Kentucky,0
2020-01-28,6,Louisiana,0
2020-01-28,6,Maine,0
2020-01-28,6,Maryland,0
2020-01-28,6,Massachusetts,0
2020-01-28,6,Michigan,0
2020-01-28,6,Minnesota,0
2020-01-28,6,Mississippi,0
2020-01-28,6,Missouri,0
2020-01-28,6,Montana,0
2020-01-28,6,Nebraska,0
2020-01-28,6,Nevada,0
2020-01-28,6,New Hampshire,0
2020-01-28,6,New Jersey,0
2020-01-28,6,New Mexico,0
2020-01-28,6,New York,0
2020-01-28,6,North Carolina,0
2020-01-28,6,North Dakota,0
2020-01-28,6,Northern Mariana Islands,0
2020-01-28,6,Ohio,0
2020-01-28,6,Oklahoma,0
2020-01-28,6,Oregon,0
2020-01-28,6,Pennsylvania,0
2020-01-28,6,Puerto Rico,0
2020-01-28,6,Rhode Island,0
2020-01-28,6,South Carolina,0
2020-01-28,6,South Dakota,0
2020-01-28,6,Tennessee,0
2020-01-28,6,Texas,0
2020-01-28,6,Utah,0
2020-01-28,6,Vermont,0
2020-01-28,6,Virgin Islands,0
2020-01-28,6,Virginia,0
2020-01-28,6,Washington,0
2020-01-28,6,West Virginia,0
2020-01-28,6,Wisconsin,0
2020-01-28,6,Wyoming,0
2020-01-29,7,Alabama,0
2020-01-29,7,Alaska,0
2020-01-29,7,American Samoa,0
2020-01-29,7,Arizona,0
2020-01-29,7,Arkansas,0
2020-01-29,7,California,0
2020-01-29,7,Colorado,0
2020-01-29,7,Connecticut,0
2020-01-29,7,Delaware,0
2020-01-29,7,Diamond Princess,0
2020-01-29,7,District of Columbia,0
2020-01-29,7,Florida,0
2020-01-29,7,Georgia,0
2020-01-29,7,Grand Princess,0
2020-01-29,7,Guam,0
2020-01-29,7,Hawaii,0
2020-01-29,7,Idaho,0
2020-01-29,7,Illinois,0
2020-01-29,7,Indiana,0
2020-01-29,7,Iowa,0
2020-01-29,7,Kansas,0
2020-01-29,7,Kentucky,0
2020-01-29,7,Louisiana,0
2020-01-29,7,Maine,0
2020-01-29,7,Maryland,0
2020-01-29,7,Massachusetts,0
2020-01-29,7,Michigan,0
2020-01-29,7,Minnesota,0
2020-01-29,7,Mississippi,0
2020-01-29,7,Missouri,0
2020-01-29,7,Montana,0
2020-01-29,7,Nebraska,0
2020-01-29,7,Nevada,0
2020-01-29,7,New Hampshire,0
2020-01-29,7,New Jersey,0
2020-01-29,7,New Mexico,0
2020-01-29,7,New York,0
2020-01-29,7,North Carolina,0
2020-01-29,7,North Dakota,0
2020-01-29,7,Northern Mariana Islands,0
2020-01-29,7,Ohio,0
2020-01-29,7,Oklahoma,0
2020-01-29,7,Oregon,0
2020-01-29,7,Pennsylvania,0
2020-01-29,7,Puerto Rico,0
2020-01-29,7,Rhode Island,0
2020-01-29,7,South Carolina,0
2020-01-29,7,South Dakota,0
2020-01-29,7,Tennessee,0
2020-01-29,7,Texas,0
2020-01-29,7,Utah,0
2020-01-29,7,Vermont,0
2020-01-29,7,Virgin Islands,0
2020-01-29,7,Virginia,0
2020-01-29,7,Washington,0
2020-01-29,7,West Virginia,0
2020-01-29,7,Wisconsin,0
2020-01-29,7,Wyoming,0
2020-01-30,8,Alabama,0
2020-01-30,8,Alaska,0
2020-01-30,8,American Samoa,0
2020-01-30,8,Arizona,0
2020-01-30,8,Arkansas,0
2020-01-30,8,California,0
2020-01-30,8,Colorado,0
2020-01-30,8,Connecticut,0
2020-01-30,8,Delaware,0
2020-01-30,8,Diamond Princess,0
2020-01-30,8,District of Columbia,0
2020-01-30,8,Florida,0
2020-01-30,8,Georgia,0
2020-01-30,8,Grand Princess,0
2020-01-30,8,Guam,0
2020-01-30,8,Hawaii,0
2020-01-30,8,Idaho,0
2020-01-30,8,Illinois,0
2020-01-30,8,Indiana,0
2020-01-30,8,Iowa,0
2020-01-30,8,Kansas,0
2020-01-30,8,Kentucky,0
2020-01-30,8,Louisiana,0
2020-01-30,8,Maine,0
2020-01-30,8,Maryland,0
2020-01-30,8,Massachusetts,1
2020-01-30,8,Michigan,0
2020-01-30,8,Minnesota,0
2020-01-30,8,Mississippi,0
2020-01-30,8,Missouri,0
2020-01-30,8,Montana,0
2020-01-30,8,Nebraska,0
2020-01-30,8,Nevada,0
2020-01-30,8,New Hampshire,0
2020-01-30,8,New Jersey,0
2020-01-30,8,New Mexico,0
2020-01-30,8,New York,0
2020-01-30,8,North Carolina,0
2020-01-30,8,North Dakota,0
2020-01-30,8,Northern Mariana Islands,0
2020-01-30,8,Ohio,0
2020-01-30,8,Oklahoma,0
2020-01-30,8,Oregon,0
2020-01-30,8,Pennsylvania,0
2020-01-30,8,Puerto Rico,0
2020-01-30,8,Rhode Island,0
2020-01-30,8,South Carolina,0
2020-01-30,8,South Dakota,0
2020-01-30,8,Tennessee,0
2020-01-30,8,Texas,0
2020-01-30,8,Utah,0
2020-01-30,8,Vermont,0
2020-01-30,8,Virgin Islands,0
2020-01-30,8,Virginia,0
2020-01-30,8,Washington,0
2020-01-30,8,West Virginia,0
2020-01-30,8,Wisconsin,0
2020-01-30,8,Wyoming,0
2020-01-31,9,Alabama,0
2020-01-31,9,Alaska,0
2020-01-31,9,American Samoa,0
2020-01-31,9,Arizona,0
2020-01-31,9,Arkansas,0
2020-01-31,9,California,0
2020-01-31,9,Colorado,0
2020-01-31,9,Connecticut,0
2020-01-31,9,Delaware,0
2020-01-31,9,Diamond Princess,0
2020-01-31,9,District of Columbia,0
2020-01-31,9,Florida,0
2020-01-31,9,Georgia,0
2020-01-31,9,Grand Princess,0
2020-01-31,9,Guam,0
2020-01-31,9,Hawaii,0
2020-01-31,9,Idaho,0
2020-01-31,9,Illinois,0
2020-01-31,9,Indiana,0
2020-01-31,9,Iowa,0
2020-01-31,9,Kansas,0
2020-01-31,9,Kentucky,0
2020-01-31,9,Louisiana,0
2020-01-31,9,Maine,0
2020-01-31,9,Maryland,0
2020-01-31,9,Massachusetts,0
2020-01-31,9,Michigan,0
2020-01-31,9,Minnesota,0
2020-01-31,9,Mississippi,0
2020-01-31,9,Missouri,0
2020-01-31,9,Montana,0
2020-01-31,9,Nebraska,0
2020-01-31,9,Nevada,0
2020-01-31,9,New Hampshire,0
2020-01-31,9,New Jersey,0
2020-01-31,9,New Mexico,0
2020-01-31,9,New York,0
2020-01-31,9,North Carolina,0
2020-01-31,9,North Dakota,0
2020-01-31,9,Northern Mariana Islands,0
2020-01-31,9,Ohio,0
2020-01-31,9,Oklahoma,0
2020-01-31,9,Oregon,0
2020-01-31,9,Pennsylvania,0
2020-01-31,9,Puerto Rico,0
2020-01-31,9,Rhode Island,0
2020-01-31,9,South Carolina,0
2020-01-31,9,South Dakota,0
2020-01-31,9,Tennessee,0
2020-01-31,9,Texas,0
2020-01-31,9,Utah,0
2020-01-31,9,Vermont,0
2020-01-31,9,Virgin Islands,0
2020-01-31,9,Virginia,0
2020-01-31,9,Washington,0
2020-01-31,9,West Virginia,0
2020-01-31,9,Wisconsin,0
2020-01-31,9,Wyoming,0
2020-02-01,10,Alabama,0
