date,time,location,count
2020-02-17,27,Pacific West,9
2020-02-17,27,South,0
2020-02-17,27,South West,1
2020-02-18,28,Mid West,2
2020-02-18,28,Mountain West,0
2020-02-18,28,North East,2
2020-02-18,28,Other,0
2020-02-18,28,Pacific West,9
2020-02-18,28,South,0
2020-02-18,28,South West,1
2020-02-19,29,Mid West,2
2020-02-19,29,Mountain West,0
2020-02-19,29,North East,2
2020-02-19,29,Other,0
2020-02-19,29,Pacific West,9
2020-02-19,29,South,0
2020-02-19,29,South West,1
2020-02-20,30,Mid West,2
2020-02-20,30,Mountain West,0
2020-02-20,30,North East,2
2020-02-20,30,Other,0
2020-02-20,30,Pacific West,9
2020-02-20,30,South,0
2020-02-20,30,South West,1
2020-02-21,31,Mid West,2
2020-02-21,31,Mountain West,0
2020-02-21,31,North East,2
2020-02-21,31,Other,0
2020-02-21,31,Pacific West,11
2020-02-21,31,South,0
2020-02-21,31,South West,1
2020-02-22,32,Mid West,2
2020-02-22,32,Mountain West,0
2020-02-22,32,North East,2
2020-02-22,32,Other,0
2020-02-22,32,Pacific West,11
2020-02-22,32,South,0
2020-02-22,32,South West,1
2020-02-23,33,Mid West,2
2020-02-23,33,Mountain West,0
2020-02-23,33,North East,2
2020-02-23,33,Other,0
2020-02-23,33,Pacific West,11
2020-02-23,33,South,0
2020-02-23,33,South West,1
2020-02-24,34,Mid West,2
2020-02-24,34,Mountain West,0
2020-02-24,34,North East,2
2020-02-24,34,Other,0
2020-02-24,34,Pacific West,11
2020-02-24,34,South,0
2020-02-24,34,South West,1
2020-02-25,35,Mid West,2
2020-02-25,35,Mountain West,0
2020-02-25,35,North East,2
2020-02-25,35,Other,0
2020-02-25,35,Pacific West,11
2020-02-25,35,South,0
2020-02-25,35,South West,1
2020-02-26,36,Mid West,2
2020-02-26,36,Mountain West,0
2020-02-26,36,North East,2
2020-02-26,36,Other,0
2020-02-26,36,Pacific West,11
2020-02-26,36,South,0
2020-02-26,36,South West,1
2020-02-27,37,Mid West,2
2020-02-27,37,Mountain West,0
2020-02-27,37,North East,2
2020-02-27,37,Other,0
2020-02-27,37,Pacific West,12
2020-02-27,37,South,0
2020-02-27,37,South West,1
2020-02-28,38,Mid West,2
2020-02-28,38,Mountain West,0
2020-02-28,38,North East,2
2020-02-28,38,Other,0
2020-02-28,38,Pacific West,12
2020-02-28,38,South,0
2020-02-28,38,South West,1
2020-02-29,39,Mid West,2
2020-02-29,39,Mountain West,0
2020-02-29,39,North East,2
2020-02-29,39,Other,0
2020-02-29,39,Pacific West,20
2020-02-29,39,South,0
2020-02-29,39,South West,1
2020-03-01,40,Mid West,3
2020-03-01,40,Mountain West,0
2020-03-01,40,North East,4
2020-03-01,40,Other,0
2020-03-01,40,Pacific West,24
2020-03-01,40,South,0
2020-03-01,40,South West,1
2020-03-02,41,Mid West,4
2020-03-02,41,Mountain West,0
2020-03-02,41,North East,6
2020-03-02,41,Other,0
2020-03-02,41,Pacific West,42
2020-03-02,41,South,2
2020-03-02,41,South West,1
2020-03-03,42,Mid West,4
2020-03-03,42,Mountain West,0
2020-03-03,42,North East,9
2020-03-03,42,Other,0
2020-03-03,42,Pacific West,55
2020-03-03,42,South,5
2020-03-03,42,South West,1
2020-03-04,43,Mid West,4
2020-03-04,43,Mountain West,0
2020-03-04,43,North East,20
2020-03-04,43,Other,0
2020-03-04,43,Pacific West,77
2020-03-04,43,South,5
2020-03-04,43,South West,1
2020-03-05,44,Mid West,5
2020-03-05,44,Mountain West,3
2020-03-05,44,North East,41
2020-03-05,44,Other,0
2020-03-05,44,Pacific West,124
2020-03-05,44,South,7
2020-03-05,44,South West,4
2020-03-06,45,Mid West,8
2020-03-06,45,Mountain West,10
2020-03-06,45,North East,63
2020-03-06,45,Other,0
2020-03-06,45,Pacific West,140
2020-03-06,45,South,10
2020-03-06,45,South West,6
2020-03-07,46,Mid West,9
2020-03-07,46,Mountain West,11
2020-03-07,46,North East,162
2020-03-07,46,Other,0
2020-03-07,46,Pacific West,190
2020-03-07,46,South,19
2020-03-07,46,South West,12
2020-03-08,47,Mid West,13
2020-03-08,47,Mountain West,13
2020-03-08,47,North East,220
2020-03-08,47,Other,0
2020-03-08,47,Pacific West,232
2020-03-08,47,South,26
2020-03-08,47,South West,15
2020-03-09,48,Mid West,20
2020-03-09,48,Mountain West,17
2020-03-09,48,North East,259
2020-03-09,48,Other,0
2020-03-09,48,Pacific West,238
2020-03-09,48,South,43
2020-03-09,48,South West,17
2020-03-10,49,Mid West,39
2020-03-10,49,Mountain West,23
2020-03-10,49,North East,306
2020-03-10,49,Other,0
2020-03-10,49,Pacific West,328
2020-03-10,49,South,64
2020-03-10,49,South West,22
2020-03-11,50,Mid West,79
2020-03-11,50,Mountain West,44
2020-03-11,50,North East,411
2020-03-11,50,Other,0
2020-03-11,50,Pacific West,481
2020-03-11,50,South,102
2020-03-11,50,South West,33
2020-03-12,51,Mid West,107
2020-03-12,51,Mountain West,63
2020-03-12,51,North East,538
2020-03-12,51,Other,0
2020-03-12,51,Pacific West,689
2020-03-12,51,South,152
2020-03-12,51,South West,41
2020-03-13,52,Mid West,178
2020-03-13,52,Mountain West,108
2020-03-13,52,North East,747
2020-03-13,52,Other,0
2020-03-13,52,Pacific West,882
2020-03-13,52,South,244
2020-03-13,52,South West,63
2020-03-14,53,Mid West,246
2020-03-14,53,Mountain West,142
2020-03-14,53,North East,1059
2020-03-14,53,Other,0
2020-03-14,53,Pacific West,1055
2020-03-14,53,South,399
2020-03-14,53,South West,85
2020-03-15,54,Mid West,267
2020-03-15,54,Mountain West,186
2020-03-15,54,North East,1203
2020-03-15,54,Other,0
2020-03-15,54,Pacific West,1019
2020-03-15,54,South,466
2020-03-15,54,South West,89
2020-03-16,55,Mid West,406
2020-03-16,55,Mountain West,246
2020-03-16,55,North East,1886
2020-03-16,55,Other,51
2020-03-16,55,Pacific West,1384
2020-03-16,55,South,589
2020-03-16,55,South West,124
2020-03-17,56,Mid West,572
2020-03-17,56,Mountain West,304
2020-03-17,56,North East,2760
2020-03-17,56,Other,100
2020-03-17,56,Pacific West,1735
2020-03-17,56,South,900
2020-03-17,56,South West,154
2020-03-18,57,Mid West,868
2020-03-18,57,Mountain West,353
2020-03-18,57,North East,4396
2020-03-18,57,Other,111
2020-03-18,57,Pacific West,1952
2020-03-18,57,South,1248
2020-03-18,57,South West,252
2020-03-19,58,Mid West,1346
2020-03-19,58,Mountain West,487
2020-03-19,58,North East,6921
2020-03-19,58,Other,129
2020-03-19,58,Pacific West,2508
2020-03-19,58,South,1896
2020-03-19,58,South West,386
2020-03-20,59,Mid West,1896
2020-03-20,59,Mountain West,697
2020-03-20,59,North East,11119
2020-03-20,59,Other,174
2020-03-20,59,Pacific West,2932
2020-03-20,59,South,2682
2020-03-20,59,South West,539
2020-03-21,60,Mid West,2464
2020-03-21,60,Mountain West,846
2020-03-21,60,North East,14820
2020-03-21,60,Other,212
2020-03-21,60,Pacific West,3394
2020-03-21,60,South,3566
2020-03-21,60,South West,741
2020-03-22,61,Mid West,3665
2020-03-22,61,Mountain West,1049
2020-03-22,61,North East,20830
2020-03-22,61,Other,237
2020-03-22,61,Pacific West,3888
2020-03-22,61,South,4334
2020-03-22,61,South West,852
